Transaction_ID,Date,Time,Customer_Name,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000000,2022-01-21,06:27:29,"Stacey Price",3,71.65,"Mobile Payment","Los Angeles","Warehouse Club",True,Homemaker,Winter,Others
1000000001,2023-03-01,13:01:21,"Michelle Carlson",5,25.93,Cash,"San Francisco","Specialty Store",True,Professional,Fall,"BOGO (Buy One Get One)"
1000000002,2024-03-21,15:37:04,"Lisa Graves",1,41.49,"Credit Card",Houston,"Department Store",True,Professional,Winter,Others
1000000003,2020-10-31,09:59:47,"Mrs. Patricia May",2,39.34,"Mobile Payment",Chicago,Pharmacy,True,Homemaker,Spring,Others
1000000004,2020-12-10,00:59:59,"Susan Mitchell",1,16.42,"Debit Card",Houston,"Specialty Store",False,"Young Adult",Winter,"Discount on Selected Items"
1000000005,2021-10-07,12:37:26,"Joshua Frazier",2,72.24,Cash,Houston,Supermarket,True,Retiree,Spring,"Discount on Selected Items"
1000000006,2023-01-08,10:40:03,"Victoria Garrett",5,5.28,Cash,Boston,"Specialty Store",False,Student,Summer,"Discount on Selected Items"
1000000007,2020-09-03,12:39:59,"Sydney Waller",5,21.77,"Debit Card",Chicago,"Specialty Store",False,"Young Adult",Winter,"Discount on Selected Items"
1000000008,2021-04-05,06:32:18,"Kimberly Morgan",1,55.25,"Mobile Payment","Los Angeles","Warehouse Club",False,Homemaker,Fall,None
1000000009,2021-07-08,10:08:59,"Lori Conway",3,31.21,"Mobile Payment",Boston,"Convenience Store",True,"Young Adult",Winter,Others
